image_id,family,module,motif,note,seed,expert_depletion,expert_fog,expert_disconnection,expert_burden,learned_depletion,delta_depletion,learned_fog,delta_fog,learned_disconnection,delta_disconnection,learned_burden,delta_burden,visual_shift_l2,image_bias,image_nuisance_l2
IMG_035,blend,clarity,sunken_body,blend of fog and burden,3839201800,0.16999999999999998,0.8,0.22,0.28,0.21750638,0.04750637888908388,0.7816924,-0.018307614326477095,0.344728,0.12472799301147461,0.3054402,0.025440187454223606,0.1370995994007886,0.0,0.09742326
IMG_036,blend,burden,root_plume,blend of fog and burden,1945413271,0.22,0.54,0.12,0.74,0.28359407,0.06359407186508179,0.61666983,0.0766698336601257,0.12848979,0.00848979234695435,0.7498236,0.009823570251464853,0.10045421084470477,0.0,0.10573068
IMG_037,blend,connection,winged_mantle,blend of disconnection and burden,3870961050,0.12,0.12,0.72,0.46,0.06887126,-0.05112874031066894,0.17825982,0.05825981974601746,0.85012025,0.1301202464103699,0.48868498,0.02868498206138609,0.1541507749067506,0.0,0.15463252
IMG_038,blend,connection,tidal_pour,blend of disconnection and burden,422553763,0.16999999999999998,0.16999999999999998,0.6,0.6,0.20862715,0.038627149462699906,0.26062676,0.09062676310539247,0.5352389,-0.06476107835769651,0.64417857,0.044178569316864036,0.12590079476918067,0.0,0.06757393
IMG_039,blend,connection,folded_column,blend of disconnection and burden,2722906994,0.22,0.22,0.8,0.28,0.22052939,0.0005293923616409291,0.34953284,0.1295328426361084,0.87634826,0.07634825706481929,0.41021928,0.13021928191184995,0.19890991759119747,0.0,0.14681174
IMG_040,blend,burden,mist_window,blend of disconnection and burden,3137678846,0.12,0.12,0.54,0.74,0.23737404,0.11737403750419617,0.29814398,0.17814398288726807,0.6311259,0.09112592697143551,0.91448355,0.17448354721069337,0.2902763960996577,0.0,0.07604786
IMG_041,ambiguous,burden,splinter_cloud,dark but organized,2803780397,0.28,0.18,0.22,0.72,0.26647317,-0.013526825904846218,0.20189464,0.021894640922546393,0.107462846,-0.11253715425729752,0.65136975,-0.06863024950027463,0.13430216883947924,0.0,0.0774426
IMG_042,ambiguous,clarity,central_cavern,foggy but calm,2558148301,0.22,0.78,0.18,0.2,0.20427631,-0.01572369158267975,0.7484369,-0.03156307220458987,0.22917871,0.049178711771965034,0.14066386,-0.059336137771606456,0.08475131232718737,0.0,0.12325468
IMG_043,ambiguous,connection,paired_lobes,fragmented but light,3855561011,0.18,0.34,0.76,0.16,0.20309061,0.023090608119964606,0.39131677,0.05131677150726316,0.7315615,-0.028438518047332773,0.16778795,0.007787954211235043,0.06352943224052296,0.0,0.10214206
IMG_044,ambiguous,burden,island_gap,heavy but symmetrical,2925043715,0.34,0.16,0.18,0.78,0.38480335,0.0448033547401428,0.10836959,-0.05163041114807129,0.13035843,-0.049641572237014764,0.792483,0.01248297214508054,0.08539994285143036,0.0,0.040097114
IMG_045,ambiguous,energy,eclipse_twins,slowed but spacious,4011813675,0.72,0.24,0.48,0.18,0.69034135,-0.029658646583557102,0.37629443,0.13629443407058717,0.3264206,-0.15357939481735228,0.23915096,0.059150956273078925,0.2157342675985293,0.0,0.09484674
IMG_046,ambiguous,clarity,overhead_mass,diffuse but connected,2896604264,0.18,0.74,0.18,0.28,0.37692857,0.19692856788635255,0.75409675,0.014096746444702157,0.3442154,0.16421539306640626,0.412098,0.13209799051284787,0.2887839218647443,0.0,0.092605114
IMG_047,ambiguous,connection,sunken_body,distant but clean,232165790,0.18,0.2,0.78,0.22,0.1752177,-0.004782297015190118,0.10783404,-0.09216595888137818,0.7010267,-0.07897332191467288,0.19862348,-0.021376521587371827,0.1233335947367112,0.0,0.15843897
IMG_048,ambiguous,energy,root_plume,dense but not burdened,1161227007,0.46,0.22,0.26,0.26,0.36635435,-0.09364565372467043,0.14367655,-0.07632345080375671,0.1946474,-0.0653525984287262,0.25553232,-0.004467675685882577,0.13742525187000723,0.0,0.0730838
IMG_049,ambiguous,clarity,winged_mantle,energetic chaos,619298560,0.2,0.52,0.44,0.22,0.20976663,0.009766626358032215,0.42427653,-0.09572346925735475,0.36737916,-0.07262084126472473,0.21480472,-0.005195276141166688,0.12066129055028572,0.0,0.03767931
IMG_050,ambiguous,burden,tidal_pour,quiet pressure,3966767380,0.4,0.24,0.22,0.64,0.44516295,0.04516295194625852,0.26718733,0.02718732714653016,0.119256385,-0.1007436153292656,0.663695,0.023694977760314928,0.11614461238708135,0.0,0.05049807
IMG_051,ambiguous,connection,folded_column,faded separation,3343393600,0.26,0.6,0.62,0.2,0.2717947,0.011794706583023062,0.5517504,-0.048249578475952126,0.51025045,-0.10974955081939697,0.21328942,0.013289424777030934,0.12119698693635264,0.0,0.053157564
IMG_052,ambiguous,energy,mist_window,sunken but clear,3781435020,0.68,0.18,0.22,0.46,0.72707933,0.04707933187484736,0.36630037,0.18630037426948548,0.2743534,0.05435341477394104,0.5070445,0.04704449415206907,0.2051627916322658,0.0,0.07337122
IMG_053,foil,burden,splinter_cloud,dark foil,1718293669,0.24,0.24,0.18,0.34,0.16059196,-0.07940804004669189,0.28164026,0.04164026141166688,0.20450932,0.024509317874908454,0.36660582,0.02660581827163694,0.09668569916531428,0.0,0.09133957
IMG_054,foil,clarity,central_cavern,pale fog foil,3893290726,0.18,0.62,0.14,0.16,0.26391506,0.0839150619506836,0.64649373,0.02649373292922974,0.16784331,0.027843312025070177,0.17440417,0.01440417408943176,0.09341512598308956,0.0,0.09361785
IMG_055,foil,connection,paired_lobes,wide distance foil,3653404095,0.12,0.18,0.6,0.2,0.008449979,-0.1115500208735466,0.29350346,0.11350346326828004,0.77225304,0.17225303649902346,0.25529206,0.05529205799102782,0.24094556146731477,0.0,0.12623538
IMG_056,foil,burden,island_gap,compressed foil,3175913462,0.28,0.16,0.14,0.58,0.13904896,-0.14095103621482852,0.09079673,-0.06920326858758927,0.16082828,0.020828277468681322,0.44816357,-0.1318364310264587,0.20608480943860588,0.0,0.017171007
IMG_057,foil,connection,eclipse_twins,spacious low-burden foil,2947650685,0.2,0.24,0.44,0.14,0.22132051,0.021320509910583485,0.08387807,-0.1561219298839569,0.34741968,-0.09258032083511353,0.021394275,-0.11860572487115861,0.21786935285093215,0.0,0.021649498
IMG_058,foil,energy,overhead_mass,dense low-fog foil,1455502281,0.42,0.12,0.18,0.3,0.37432718,-0.045672817230224594,0.12397963,0.003979628086090092,0.114800856,-0.0651991444826126,0.25990468,-0.040095317363739,0.08922111067013593,0.0,0.019572932
IMG_059,foil,clarity,sunken_body,soft low-burden foil,2195595287,0.2,0.52,0.16,0.18,0.2019385,0.0019384950399398693,0.37111562,-0.14888437509536745,0.216146,0.056146007180213925,0.15412465,-0.025875352621078485,0.16122103741789945,0.0,0.049274478
IMG_060,foil,connection,root_plume,split low-fog foil,2248330803,0.18,0.18,0.64,0.14,0.18478413,0.004784129261970527,0.12521517,-0.05478482723236083,0.609334,-0.030666007995605482,0.10197077,-0.03802923053503038,0.07355876296640594,0.0,0.15406759
IMG_061,foil,burden,winged_mantle,weighted but coherent foil,3820284729,0.34,0.12,0.16,0.66,0.45813984,0.11813983678817747,0.25896737,0.13896736979484559,0.25392193,0.09392192602157592,0.78167444,0.12167444467544553,0.2385266223688983,0.0,0.042484343
IMG_062,foil,clarity,tidal_pour,blurred middle foil,2277012166,0.32,0.48,0.24,0.22,0.22237486,-0.09762514352798463,0.36029625,-0.11970375061035154,0.10071175,-0.13928825199604034,0.13866214,-0.08133785545825958,0.22333096613256748,0.0,0.12553282
IMG_063,foil,energy,folded_column,restless foil,3358907740,0.54,0.36,0.22,0.22,0.45229423,-0.08770576953887943,0.3095182,-0.050481811761856066,0.26584232,0.04584231853485107,0.20283341,-0.017166585922241212,0.11241407905615267,0.0,0.056870352
IMG_064,foil,clarity,mist_window,mixed neutral foil,450071421,0.28,0.3,0.28,0.28,0.2901829,0.010182888507842991,0.23939127,-0.06060873270034789,0.318918,0.038917989730834934,0.26823676,-0.01176324367523196,0.07368916829736673,0.0,0.09760925
